###!bad### If a Stoke player had done that to Alexis down the other end, most Arsenal fans on here would be screaming penalty and calling them thugs.
####################
###!bad### Bloody stupid from Xhaka but I'm struggling to see how the refs not given him a straight red? What does he think he's seen... #AFCvSCFC #BPL
####################
###!good### I love you Bellerin. Missed the lad soo much.
####################
###!bad### This is one of the worst calls I've seen holy fuck https://t.co/DFuPerPqD4
####################
###!bad### bellerin still cannot pass/cross
####################
###!good### Incredible last-ditch intervention from Diouf to stop what would've been a certain goal from Ozil. 0-1. #ARSSTK
####################
###!good### Spot on. https://t.co/H7mmOTgErD
####################
###!bad### xhaka is now playing nonsense
####################
###!bad### Cant see how people are bitching at the ref , bitch at Xhaka
####################
###!bad### Xhaka this ain't bloody rugby
####################
###!good### What a clearance by Diouf!!!!
####################
###!good### Mignolet is the PL's best at saving pens, he's surprisingly really good at it https://t.co/szRnBp0a5R
####################
###!bad### Xhaka dafuq???
Keep your cross down
####################
###!bad### Xhaka? Overdoing it mate
####################
###!bad### Xhaka is going to the bench for a while a long while
####################
###!bad### 9 guys lined up at the far post and Xhaka kicks out of bounds
####################
###!bad### How far Xhaka today naa
####################
###!bad### Xhaka has been shit so far
####################
###!good### Diouf saves a certain goal there. Brilliant tackle that #ARSSTK
####################
###!bad### Xhaka shackles his chance at redemption. 
#ARSSTK
####################
###!bad### Xhaka can't
####################
###!bad### Cmon xhaka !!!! Not been good today
####################
###!bad### Xhaka is sooooooooo off his game. Sooooooooo off
####################
###!bad### That xhaka cross
####################
###!good### He saved the important one in 2012 CL final https://t.co/EueB6pEvZd
####################
###!bad### See this stupid Birame Diouf, leave ball na
####################
###!bad### @Marcotti it's second nature for the likes of Xhaka and Fellaini to swing their elbows. Once dirty, always dirty
####################
###!bad### Fellani elbows everyone but it's fine, Xhaka elbows someone, it's his fault.
####################
###!good### Well played Diouf!
####################
###!bad### Wtf xhaka had 3 guys open
####################
###!good### Charlie Adam scores on his birthday at the emirates, not bad eyyy
####################
###!good### Joe Allen is brought down in the area and Charlie Adam sends Petr Cech the wrong way to give Stoke City the lead!
####################
###!bad### I heard Messi saw what Sanchez did last week and laughed https://t.co/7uKrlkqBQz
####################
###!bad### Xhaka is poop, like a big one. 2 flusher
####################
###!bad### I take it Terry Butcher didn't see Xhaka's elbow hit Allen's face then. Definite penalty. #bbcfootball
####################
###!good### Charlie Adam scores a penalty? lol
####################
###!bad### Xhaka is so shit fam
####################
###!bad### Bellerin's haircut is AIDS
####################
###!bad### This xhaka can't even lace mikel's boots
####################
###!bad### Xhaka will be benched the next game..
####################
###!bad### I'm better than Xhaka
####################
###!bad### @gunnerblog or incredibly lazy attacking by Ozil... Made zero effort there
####################
###!bad### Just seen the Xhaka elbow should of been a straight red.
####################
###!bad### Xhaka has to keep these crosses down urgh second one already
####################
###!bad### Xhaka's having a shaky game
####################
###!bad### 12 penalties 0 saved RT @GoonerGordo: Has Cech ever saved a pen in his career?
####################
###!bad### Xhaka crosses the same way he shoots like he's got metal boots on
####################
###!bad### Ozil is too slow,,,,arrgh
####################
###!good### Bellerin's touch to bring that down was unreal.
####################
###!good### Co-commentator on my feed said Arnautovic is one of his favourite players.   [Michael Bluth voice:] him?
####################
###!bad### Xhaka beginning to annoy me. What is this nonsense indiscipline for?
####################
###!good### That Xhaka pass deserves a standing ovation
####################
###!bad### ozil though..smh
####################
