###!bad### if a #team player had done that to #player down the other end, most #team fans on here would be screaming penalty and calling them thugs.
#####
###!bad### bloody stupid from #player but i'm struggling to see how the refs not given him a straight red? what does he think he's seen...  
#####
###!good### i love you #player. missed the lad soo much.
#####
###!bad### this is one of the worst calls i've seen holy fuck 
#####
###!bad### #player still cannot pass/cross
#####
###!good### incredible last-ditch intervention from #player to stop what would've been a certain goal from #player. #score. 
#####
###!good### spot on. 
#####
###!bad### #player is now playing nonsense
#####
###!bad### cant see how people are bitching at the ref , bitch at #player
#####
###!bad### #player this ain't bloody rugby
#####
###!good### what a clearance by #player!!!!
#####
###!good### mignolet is the pl's best at saving pens, he's surprisingly really good at it 
#####
###!bad### #player dafuq???
keep your cross down
#####
###!bad### #player? overdoing it mate
#####
###!bad### #player is going to the bench for a while a long while
#####
###!bad### 9 guys lined up at the far post and #player kicks out of bounds
#####
###!bad### how far #player today naa
#####
###!bad### #player has been shit so far
#####
###!good### #player saves a certain goal there. brilliant tackle that 
#####
###!bad### #player shackles his chance at redemption. 

#####
###!bad### #player can't
#####
###!bad### cmon #player !!!! not been good today
#####
###!bad### #player is so off his game. so off
#####
###!bad### that #player cross
#####
###!good### he saved the important one in 2012 cl final 
#####
###!bad### see this stupid birame #player, leave ball na
#####
###!bad### @marcotti it's second nature for the likes of #player and fellaini to swing their elbows. once dirty, always dirty
#####
###!bad### fellani elbows everyone but it's fine, #player elbows someone, it's his fault.
#####
###!good### well played #player!
#####
###!bad### wtf #player had 3 guys open
#####
###!good### #player scores on his birthday at the emirates, not bad ey
#####
###!good### joe #player is brought down in the area and #player sends petr #player the wrong way to give #team the lead!
#####
###!bad### i heard messi saw what #player did last week and laughed 
#####
###!bad### #player is poop, like a big one. 2 flusher
#####
###!bad### i take it terry butcher didn't see #player's elbow hit #player's face then. definite penalty. 
#####
###!good### #player scores a penalty? lol
#####
###!bad### #player is so shit fam
#####
###!bad### #player's haircut is aids
#####
###!bad### this #player can't even lace mikel's boots
#####
###!bad### #player will be benched the next game..
#####
###!bad### i'm better than #player
#####
###!bad### @gunnerblog or incredibly lazy attacking by #player... made zero effort there
#####
###!bad### just seen the #player elbow should of been a straight red.
#####
###!bad### #player has to keep these crosses down urgh second one already
#####
###!bad### #player's having a shaky game
#####
###!bad### 12 penalties 0 saved rt @goonergordo: has #player ever saved a pen in his career?
#####
###!bad### #player crosses the same way he shoots like he's got metal boots on
#####
###!bad### #player is too slow,,,,arrgh
#####
###!good### #player's touch to bring that down was unreal.
#####
###!good### co-commentator on my feed said #player is one of his favourite players.   [michael bluth voice:] him?
#####
###!bad### #player beginning to annoy me. what is this nonsense indiscipline for?
#####
###!good### that #player pass deserves a standing ovation
#####
###!bad### #player though..smh
#####
###!bad### awful elbow from #player, don't know how he hasn't seen red.   
#####
###!good### one day #player will save a penalty for us.
#####
###!bad### the hell is wrong with #player today?
#####
###!good### ospina is the guy bro 
#####
###!bad### what's going on with this #player guy 
#####
###!good###  good job granit #player....for the elbow to #player.its okay though go gunners!
#####
###!good### i thought this. confirmed. this doesnt mean he's terrible btw. 
#####
###!good### never a foul that by #player for me, but got to be red if he gives it, right?
#####
###!bad### #player you whimp you should want that more.
#####
###!bad### what is #player doing on the pitch sef?@naija102ibadan @thebeat979fm 
#####
